# {"t_start": 1539561987.4822626, "env_id": "Arm-v0"} 
r,l,t
-50.0,50,3.37156
-49.0,50,6.705186
-50.0,50,10.038609
-50.0,50,13.371415
-50.0,50,16.704877
-3.0,50,20.038421
-50.0,50,23.37131
-49.0,50,26.705113
-50.0,50,30.037755
-50.0,50,33.371225
-50.0,50,36.704731
-50.0,50,40.038229
-50.0,50,43.371473
-50.0,50,46.705284
-50.0,50,50.038387
-50.0,50,53.372503
-50.0,50,56.705125
-50.0,50,60.038466
-50.0,50,63.371493
-50.0,50,66.704842
-48.0,50,70.03814
-50.0,50,73.37165
-50.0,50,76.703771
-50.0,50,80.041166
-50.0,50,83.371564
0.0,50,86.70499
0.0,50,90.039096
0.0,50,93.371753
-50.0,50,96.702904
-49.0,50,100.040985
-50.0,50,103.371846
-49.0,50,106.704465
-50.0,50,110.038558
-49.0,50,113.373893
-50.0,50,116.702342
-1.0,50,120.038428
-50.0,50,123.371331
-49.0,50,126.704806
-1.0,50,130.039085
-47.0,50,133.373974
-50.0,50,136.705094
-3.0,50,140.038505
-50.0,50,143.371458
0.0,50,146.702295
-50.0,50,150.03981
-50.0,50,153.371355
-50.0,50,156.704751
-50.0,50,160.03832
-50.0,50,163.371735
-6.0,50,166.705939
-50.0,50,170.035945
-50.0,50,173.371387
-50.0,50,176.705237
-47.0,50,180.035932
-50.0,50,183.371635
-48.0,50,186.705568
-50.0,50,190.038265
-50.0,50,193.37166
-50.0,50,196.704942
-50.0,50,200.036824
-46.0,50,203.371133
-49.0,50,206.705568
-50.0,50,210.038308
-50.0,50,213.3715
-50.0,50,216.705474
-50.0,50,220.038324
-50.0,50,223.370639
-50.0,50,226.702479
-50.0,50,230.036908
-50.0,50,233.370444
-50.0,50,236.70498
-50.0,50,240.037752
-50.0,50,243.370473
-50.0,50,246.706102
-49.0,50,250.037755
-50.0,50,253.371119
-1.0,50,256.704762
-49.0,50,260.041141
-3.0,50,263.371076
-50.0,50,266.704796
-50.0,50,270.037778
-5.0,50,273.370119
-50.0,50,276.704964
-50.0,50,280.038085
-50.0,50,283.372385
-50.0,50,286.704798
0.0,50,290.037623
-50.0,50,293.371414
-50.0,50,296.704188
-49.0,50,300.038163
-50.0,50,303.371402
-3.0,50,306.704823
-50.0,50,310.04423
-2.0,50,313.371466
-49.0,50,316.704958
-50.0,50,320.038324
-50.0,50,323.372456
-2.0,50,326.704137
-9.0,50,330.038175
-50.0,50,333.371176
0.0,50,336.704754
-50.0,50,340.03727
-1.0,50,343.371495
-49.0,50,346.705007
-2.0,50,350.041989
-1.0,50,353.371197
-47.0,50,356.703375
-4.0,50,360.038566
-50.0,50,363.371099
-3.0,50,366.704813
-4.0,50,370.038275
0.0,50,373.37043
-50.0,50,376.704643
-3.0,50,380.038677
-50.0,50,383.371454
-50.0,50,386.704818
-50.0,50,390.037766
-4.0,50,393.371519
-50.0,50,396.702821
-50.0,50,400.038865
-50.0,50,403.371495
-50.0,50,406.70456
-44.0,50,410.038092
-50.0,50,413.371172
-50.0,50,416.704865
-50.0,50,420.034814
-50.0,50,423.371873
-5.0,50,426.704778
-50.0,50,430.03799
-50.0,50,433.371124
-50.0,50,436.704799
-50.0,50,440.039132
-8.0,50,443.371373
-50.0,50,446.704783
-50.0,50,450.037997
-50.0,50,453.371234
-48.0,50,456.704011
-50.0,50,460.037572
-50.0,50,463.371128
-50.0,50,466.704555
-50.0,50,470.038337
-50.0,50,473.371204
-50.0,50,476.706036
-49.0,50,480.038141
0.0,50,483.371473
-50.0,50,486.704715
-50.0,50,490.037879
-50.0,50,493.3712
-50.0,50,496.704799
-50.0,50,500.037851
-50.0,50,503.371452
-50.0,50,506.704632
-50.0,50,510.03594
-5.0,50,513.371414
-50.0,50,516.703
-3.0,50,520.03615
-50.0,50,523.369857
-50.0,50,526.704229
-50.0,50,530.037865
-50.0,50,533.371333
-3.0,50,536.704787
-50.0,50,540.037944
-50.0,50,543.369822
-50.0,50,546.704327
-50.0,50,550.036711
-50.0,50,553.37201
-50.0,50,556.704513
-4.0,50,560.035994
-50.0,50,563.368469
-50.0,50,566.704495
-7.0,50,570.038491
0.0,50,573.371604
-45.0,50,576.704246
-1.0,50,580.037436
0.0,50,583.371367
-50.0,50,586.704
-50.0,50,590.037928
-50.0,50,593.37233
-3.0,50,596.702721
-50.0,50,600.037649
-50.0,50,603.370928
-50.0,50,606.704123
-50.0,50,610.037171
-50.0,50,613.371445
-1.0,50,616.704666
-50.0,50,620.038016
-3.0,50,623.370704
-50.0,50,626.703359
-50.0,50,630.037826
-50.0,50,633.372182
0.0,50,636.704278
-50.0,50,640.037815
-50.0,50,643.371473
-50.0,50,646.704575
-50.0,50,650.0374
-50.0,50,653.37103
-50.0,50,656.704307
-50.0,50,660.037647
-50.0,50,663.371123
-50.0,50,666.703946
-50.0,50,670.038264
-50.0,50,673.368818
-50.0,50,676.703087
-50.0,50,680.037736
-3.0,50,683.370847
-2.0,50,686.704522
0.0,50,690.037975
-50.0,50,693.37115
-50.0,50,696.704152
-2.0,50,700.037715
-50.0,50,703.368783
-50.0,50,706.703794
-2.0,50,710.03824
-50.0,50,713.370807
-48.0,50,716.704181
-50.0,50,720.036948
-4.0,50,723.370776
-50.0,50,726.703542
-1.0,50,730.037265
-50.0,50,733.371046
-50.0,50,736.704457
-50.0,50,740.037696
-1.0,50,743.368949
-5.0,50,746.705341
-50.0,50,750.037682
-8.0,50,753.370785
-50.0,50,756.704319
-3.0,50,760.037373
-50.0,50,763.370859
-50.0,50,766.704995
-49.0,50,770.037618
-50.0,50,773.370913
-50.0,50,776.704544
-50.0,50,780.037487
-50.0,50,783.369739
-48.0,50,786.704899
-48.0,50,790.037631
-50.0,50,793.370984
-3.0,50,796.704111
-4.0,50,800.037615
-4.0,50,803.370798
-2.0,50,806.701041
-50.0,50,810.037558
-4.0,50,813.370701
-50.0,50,816.703682
-50.0,50,820.036449
-50.0,50,823.371068
-50.0,50,826.705105
-50.0,50,830.037668
-2.0,50,833.371073
-50.0,50,836.704406
-50.0,50,840.034521
-50.0,50,843.371075
-50.0,50,846.703814
-50.0,50,850.037129
-50.0,50,853.370589
-50.0,50,856.704456
-50.0,50,860.036014
-50.0,50,863.369184
-50.0,50,866.704594
-50.0,50,870.03767
-1.0,50,873.36821
-50.0,50,876.704527
-50.0,50,880.037612
-49.0,50,883.371021
-50.0,50,886.705711
-50.0,50,890.037595
-50.0,50,893.37063
-47.0,50,896.706279
-50.0,50,900.037593
-50.0,50,903.372416
-50.0,50,906.704382
-50.0,50,910.036641
-50.0,50,913.370662
-50.0,50,916.704717
-50.0,50,920.037124
-3.0,50,923.371184
-50.0,50,926.704289
-50.0,50,930.037433
-50.0,50,933.370888
-50.0,50,936.701916
-50.0,50,940.037179
-50.0,50,943.368579
-50.0,50,946.704098
-50.0,50,950.035813
-50.0,50,953.370146
-50.0,50,956.704126
-50.0,50,960.038596
-2.0,50,963.370448
-50.0,50,966.703835
-2.0,50,970.037413
-48.0,50,973.369876
-50.0,50,976.703769
-50.0,50,980.038425
-1.0,50,983.370755
-50.0,50,986.703633
0.0,50,990.037423
-50.0,50,993.37098
-5.0,50,996.703958
-50.0,50,1000.034445
-50.0,50,1003.370587
-50.0,50,1006.704389
-50.0,50,1010.037498
-50.0,50,1013.369649
-50.0,50,1016.703096
-50.0,50,1020.038503
-50.0,50,1023.367161
-50.0,50,1026.704213
-50.0,50,1030.03751
-49.0,50,1033.370799
-50.0,50,1036.704411
-49.0,50,1040.037037
-4.0,50,1043.370218
-3.0,50,1046.704028
-50.0,50,1050.038567
-6.0,50,1053.370582
-50.0,50,1056.702157
-50.0,50,1060.03743
-50.0,50,1063.370638
-50.0,50,1066.703642
-50.0,50,1070.037664
-50.0,50,1073.373458
-50.0,50,1076.704266
-50.0,50,1080.034695
-50.0,50,1083.373986
-50.0,50,1086.704211
-50.0,50,1090.037119
-6.0,50,1093.370396
-50.0,50,1096.704649
-48.0,50,1100.037152
-50.0,50,1103.370518
-50.0,50,1106.703996
-3.0,50,1110.036554
-50.0,50,1113.370032
-50.0,50,1116.70506
-50.0,50,1120.036855
-1.0,50,1123.371207
-50.0,50,1126.706065
-5.0,50,1130.037906
-50.0,50,1133.37101
-50.0,50,1136.703449
-50.0,50,1140.036732
-4.0,50,1143.370658
-50.0,50,1146.703624
-50.0,50,1150.036881
-50.0,50,1153.371458
-50.0,50,1156.703011
-2.0,50,1160.037349
-2.0,50,1163.370047
-50.0,50,1166.703999
-50.0,50,1170.040429
-50.0,50,1173.371959
-2.0,50,1176.70319
-50.0,50,1180.036975
-50.0,50,1183.369184
-3.0,50,1186.704322
-3.0,50,1190.037029
-50.0,50,1193.37053
-50.0,50,1196.700963
-2.0,50,1200.037372
-10.0,50,1203.370751
-50.0,50,1206.704074
-50.0,50,1210.03751
-50.0,50,1213.371518
-50.0,50,1216.704017
-50.0,50,1220.037049
-50.0,50,1223.370321
-50.0,50,1226.703676
-50.0,50,1230.036954
-50.0,50,1233.37067
-50.0,50,1236.703974
-50.0,50,1240.037319
-50.0,50,1243.370484
-50.0,50,1246.703969
-50.0,50,1250.039025
-50.0,50,1253.370359
-50.0,50,1256.704016
-50.0,50,1260.037416
-5.0,50,1263.370329
0.0,50,1266.703119
-1.0,50,1270.037344
-2.0,50,1273.370361
-50.0,50,1276.702466
-50.0,50,1280.037046
-50.0,50,1283.369689
-50.0,50,1286.704036
-50.0,50,1290.034846
-48.0,50,1293.370479
-50.0,50,1296.70347
-2.0,50,1300.036948
-50.0,50,1303.370422
-50.0,50,1306.703979
-50.0,50,1310.036469
-50.0,50,1313.372289
-50.0,50,1316.701259
-50.0,50,1320.038417
-50.0,50,1323.370112
-50.0,50,1326.704053
-46.0,50,1330.035228
-49.0,50,1333.370237
-50.0,50,1336.703817
-2.0,50,1340.036481
-50.0,50,1343.369796
-50.0,50,1346.704374
-50.0,50,1350.036778
-50.0,50,1353.370184
-50.0,50,1356.704159
-8.0,50,1360.037028
-50.0,50,1363.369749
-50.0,50,1366.704196
-50.0,50,1370.034952
-50.0,50,1373.370068
-50.0,50,1376.703281
-50.0,50,1380.036896
-50.0,50,1383.370377
-50.0,50,1386.703799
-50.0,50,1390.037119
-47.0,50,1393.37042
-50.0,50,1396.703465
-50.0,50,1400.036627
-50.0,50,1403.370429
-1.0,50,1406.703955
-50.0,50,1410.037107
0.0,50,1413.37011
-50.0,50,1416.703446
-2.0,50,1420.037166
-2.0,50,1423.37011
-50.0,50,1426.703236
-1.0,50,1430.036985
-50.0,50,1433.367982
-47.0,50,1436.704025
-50.0,50,1440.036803
-50.0,50,1443.369426
-50.0,50,1446.703811
-50.0,50,1450.03712
-50.0,50,1453.369973
-50.0,50,1456.703596
-50.0,50,1460.037579
-50.0,50,1463.370095
-48.0,50,1466.701849
-50.0,50,1470.036977
-50.0,50,1473.369672
-50.0,50,1476.702931
-50.0,50,1480.036134
-50.0,50,1483.370529
-50.0,50,1486.705184
-1.0,50,1490.036915
0.0,50,1493.373134
-49.0,50,1496.703855
-48.0,50,1500.036924
-50.0,50,1503.36939
0.0,50,1506.703349
-50.0,50,1510.036868
-50.0,50,1513.370092
-50.0,50,1516.704429
-48.0,50,1520.037077
-49.0,50,1523.369311
-50.0,50,1526.703113
-50.0,50,1530.037057
-50.0,50,1533.370254
-50.0,50,1536.703653
-49.0,50,1540.036728
-1.0,50,1543.370152
-50.0,50,1546.702363
-48.0,50,1550.03466
-50.0,50,1553.370177
-50.0,50,1556.703935
-50.0,50,1560.036306
-50.0,50,1563.367147
-50.0,50,1566.703805
-50.0,50,1570.036965
-50.0,50,1573.370085
-50.0,50,1576.705542
-50.0,50,1580.036554
-4.0,50,1583.369774
-50.0,50,1586.703899
-50.0,50,1590.036507
-48.0,50,1593.370079
-50.0,50,1596.703553
-4.0,50,1600.036918
-50.0,50,1603.370602
-50.0,50,1606.703131
-50.0,50,1610.036526
-1.0,50,1613.370539
-50.0,50,1616.703918
-1.0,50,1620.035476
-2.0,50,1623.370437
-50.0,50,1626.703603
-50.0,50,1630.037057
-50.0,50,1633.370049
-50.0,50,1636.701039
-3.0,50,1640.036912
-46.0,50,1643.370394
-50.0,50,1646.703601
-50.0,50,1650.037082
-50.0,50,1653.367879
-50.0,50,1656.700382
-50.0,50,1660.036823
-50.0,50,1663.370326
-50.0,50,1666.703447
-50.0,50,1670.037156
-50.0,50,1673.370034
-50.0,50,1676.703822
-50.0,50,1680.036954
-50.0,50,1683.366907
-50.0,50,1686.703246
-50.0,50,1690.038002
-50.0,50,1693.368993
-1.0,50,1696.702886
-49.0,50,1700.037039
-50.0,50,1703.371339
-50.0,50,1706.703483
-4.0,50,1710.040019
-2.0,50,1713.367903
-50.0,50,1716.703364
-50.0,50,1720.036897
-50.0,50,1723.368616
-2.0,50,1726.703454
-50.0,50,1730.038627
-50.0,50,1733.371685
-47.0,50,1736.703397
-4.0,50,1740.03672
-50.0,50,1743.370639
-50.0,50,1746.703749
-50.0,50,1750.037135
-50.0,50,1753.369045
-3.0,50,1756.703233
-50.0,50,1760.03678
-50.0,50,1763.370684
-50.0,50,1766.702935
-50.0,50,1770.036371
-50.0,50,1773.370114
-50.0,50,1776.702821
-50.0,50,1780.036741
-50.0,50,1783.368749
-50.0,50,1786.701847
-49.0,50,1790.034758
-50.0,50,1793.37017
-50.0,50,1796.703781
-50.0,50,1800.036839
-48.0,50,1803.369893
-50.0,50,1806.704281
-50.0,50,1810.03719
-50.0,50,1813.369593
0.0,50,1816.703285
-50.0,50,1820.036815
-50.0,50,1823.369703
-50.0,50,1826.702867
-50.0,50,1830.036312
-47.0,50,1833.369678
-49.0,50,1836.702353
-50.0,50,1840.036651
-50.0,50,1843.370177
-3.0,50,1846.703709
-50.0,50,1850.036805
-50.0,50,1853.36989
-48.0,50,1856.703427
-50.0,50,1860.03605
-50.0,50,1863.36948
-50.0,50,1866.702959
-50.0,50,1870.037033
-50.0,50,1873.369882
-50.0,50,1876.703245
-50.0,50,1880.03622
-49.0,50,1883.371616
-50.0,50,1886.703394
-4.0,50,1890.036834
-50.0,50,1893.370048
-50.0,50,1896.703201
-50.0,50,1900.035743
-50.0,50,1903.367931
-50.0,50,1906.703206
-50.0,50,1910.036216
-49.0,50,1913.369849
-47.0,50,1916.703578
-50.0,50,1920.034288
-50.0,50,1923.37071
-49.0,50,1926.702944
-50.0,50,1930.036472
-50.0,50,1933.367959
-2.0,50,1936.703078
-50.0,50,1940.036659
0.0,50,1943.369935
-50.0,50,1946.703506
